1	Gib	geben	V	VVIMP	Sg	0	root	_	-
33	oder	oder	KON	KON	_	32	kon	_	-
34	Brooklyn	Brooklyn	N	NE	_|_|_	33	cj	_	-
35	.	.	$.	$.	_	0	root	_	-

1	»	»	$(	$(	_	0	root	_	-
2	Wir	wir	PRO	PPER	1|Pl|_|Nom	3	subj	_	-
3	machen	machen	V	VVFIN	1|Pl|Pres|_	20	s	_	-
4	Geld	Geld	N	NN	Neut|_|Sg	3	obja	_	-
5	bei	bei	PREP	APPR	Dat	3	pp	_	-
6	Blue	Blue	FM	FM	_|Dat|_	5	pn	_	-
7	Note	Note	FM	FM	_|Dat|_	6	app	_	-
8	,	,	$,	$,	_	0	root	_	-
9	das	die	PRO	PDS	Neut|Nom|Sg	10	subj	_	-
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	-
11	mit	mit	PREP	APPR	Dat	17	pp	_	-
12	Jazzplatten	Jazzplatte	N	NN	_|Dat|_	11	pn	_	-
13	eigentlich	eigentlich	ADV	ADV	_	17	adv	_	-
14	sonst	sonst	ADV	ADV	_	17	adv	_	-
15	nicht	nicht	PTKNEG	PTKNEG	_	17	adv	_	-
16	zu	zu	PTKZU	PTKZU	_	17	part	_	-
17	schaffen	schaffen	V	VVINF	_	10	aux	_	-
18	«	«	$(	$(	_	0	root	_	-
19	,	,	$,	$,	_	0	root	_	-
20	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	-
21	der	die	ART	ART	Def|Masc|Nom|Sg	22	det	_	-
22	Jazzproduzent	Jazzproduzent	N	NN	Masc|Nom|Sg	20	subj	_	-
23	Bruce	Bruce	N	NE	Masc|Nom|Sg	22	app	_	-
24	Lundvall	Lundvall	N	NE	Masc|Nom|Sg	23	app	_	-
25	jüngst	jüngst	ADV	ADV	_	20	adv	_	-
26	.	.	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|Masc|Nom|Sg	2	det	_	-
2	Schlüssel	Schlüssel	N	NN	Masc|Nom|Sg	4	pred	_	-
3	dazu	dazu	PROAV	PROAV	_	2	pp	_	-
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
5	die	die	ART	ART	Def|_|Nom|Pl	6	det	_	(24
6	Young	Young	N	NE	_|Nom|Pl	4	subj	_	-
7	Lions	Lions	N	NE	_|Nom|Pl	6	app	_	24)
8	.	.	$.	$.	_	0	root	_	-

1	»	»	$(	$(	_	0	root	_	-
2	Sie	sie	PRO	PPER	3|Pl|_|Nom	3	subj	_	(24)
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	billig	billig	ADV	ADJD	Pos|	6	adv	_	-
5	zu	zu	PTKZU	PTKZU	_	6	part	_	-
6	produzieren	produzieren	V	VVINF	_	3	aux	_	-
7	-	-	$(	$(	_	0	root	_	-
8	besonders	besonders	ADV	ADV	_	11	adv	_	-
9	die	die	ART	ART	Def|_|_|Pl	11	det	_	-
10	jungen	jung	ADJA	ADJA	Pos|_|_|Pl|Wk|	11	attr	_	-
11	Akustikbebopper	Akustikbebopper	N	NN	_|_|Pl	0	root	_	-
12	,	,	$,	$,	_	0	root	_	-
13	und	und	KON	KON	_	0	root	_	-
14	für	für	PREP	APPR	Acc	17	pp	_	-
15	den	die	ART	ART	Def|Masc|Acc|Sg	16	det	_	-
16	Verkauf	Verkauf	N	NN	Masc|Acc|Sg	14	pn	_	-
17	zählt	zählen	V	VVFIN	3|Sg|Pres|Ind	13	cj	_	-
18	Kurioses	Kurioses	N	NN	Neut|Nom|Sg	17	subj	_	-
19	mehr	mehr	ADV	ADV	_	20	adv	_	-
20	als	als	KOKOM	KOKOM	_	17	kom	_	-
21	die	die	ART	ART	Def|Fem|_|Sg	22	det	_	(12
22	Musik	Musik	N	NN	Fem|_|Sg	20	cj	_	12)
23	«	«	$(	$(	_	0	root	_	-
24	,	,	$,	$,	_	0	root	_	-
25	ergänzt	ergänzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
26	Richard	Richard	N	NE	_|Nom|Sg	25	subj	_	-
27	Seidel	Seidel	N	NE	_|Nom|Sg	26	app	_	-
28	von	von	PREP	APPR	_	25	pp	_	-
29	Verve	Verve	N	NN	Fem|_|Sg	28	pn	_	-
30	/	/	$(	$(	_	0	root	_	-
31	PolyGram	PolyGram	N	NE	Fem|_|Sg	29	kon	_	-
32	Jazz	Jazz	N	NN	Masc|_|Sg	25	obja	_	(25)
33	.	.	$.	$.	_	0	root	_	-

1	»	»	$(	$(	_	0	root	_	-
2	Nichts	Nichts	N	NN	Neut|Nom|Sg	3	subj	_	-
3	zählt	zählen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	mehr	mehr	ADV	ADV	_	3	adv	_	-
5	,	,	$,	$,	_	0	root	_	-
6	als	als	KOKOM	KOKOM	_	0	root	_	-
7	daß	daß	KOUS	KOUS	_	19	konj	_	-
8	sie	sie	PRO	PPER	3|Pl|_|Nom	19	subj	_	(24)
9	in	in	PREP	APPR	Dat	18	pp	_	-
10	der	die	ART	ART	Def|Fem|Dat|Sg	12	det	_	-
11	'	'	$(	$(	_	0	root	_	-
12	Newsweek	Newsweek	N	NE	Fem|Dat|Sg	9	pn	_	-
13	'	'	$(	$(	_	0	root	_	-
14	oder	oder	KON	KON	_	12	kon	_	-
15	'	'	$(	$(	_	0	root	_	-
16	Time	Time	FM	FM	Fem|Dat|Sg	14	cj	_	-
17	'	'	$(	$(	_	0	root	_	-
18	erwähnt	erwähnen	V	VVPP	_	19	aux	_	-
19	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	-
20	.	.	$.	$.	_	0	root	_	-

1	«	«	$(	$(	_	0	root	_	-
2	Und	und	KON	KON	_	0	root	_	-
3	so	so	ADV	ADV	_	4	adv	_	-
4	geschieht	geschehen	V	VVFIN	3|Sg|Pres|Ind	2	cj	_	-
5	es	es	PRO	PPER	3|Sg|Neut|Nom	4	subj	_	-
6	,	,	$,	$,	_	0	root	_	-
7	daß	daß	KOUS	KOUS	_	13	konj	_	-
8	schließlich	schließlich	ADV	ADV	_	13	adv	_	-
9	Musiker	Musiker	N	NN	Masc|Nom|Pl	13	subj	_	(26
10	auf	auf	PREP	APPR	Dat	13	objp	_	-
11	der	die	ART	ART	Def|Fem|Dat|Sg	12	det	_	-
12	Bühne	Bühne	N	NN	Fem|Dat|Sg	10	pn	_	-
13	stehen	stehen	V	VVFIN	3|Pl|Pres|_	4	objc	_	-
14	,	,	$,	$,	_	0	root	_	-
15	die	die	PRO	PRELS	Masc|Nom|Pl	19	subj	_	(26)
16	nicht	nicht	PTKNEG	PTKNEG	_	19	adv	_	-
17	alt	alt	ADV	ADJD	Pos|	19	pred	_	-
18	genug	genug	ADV	ADV	_	17	adv	_	-
19	sind	sein	V	VAFIN	3|Pl|Pres|Ind	9	rel	_	-
20	,	,	$,	$,	_	0	root	_	-
21	im	in	PREP	APPRART	Dat	28	pp	_	-
22	gleichen	gleich	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	23	attr	_	-
23	Club	Club	N	NN	Masc|Dat|Sg	21	pn	_	-
24	einen	eine	ART	ART	Indef|Masc|Acc|Sg	25	det	_	-
25	Drink	Drink	N	NN	Masc|Acc|Sg	28	obja	_	-
26	ausgeschenkt	ausschenken	V	VVPP	_	28	obji	_	-
27	zu	zu	PTKZU	PTKZU	_	28	part	_	-
28	bekommen	bekommen	V	VVINF	_	19	obji	_	-
29	,	,	$,	$,	_	0	root	_	-
30	wie	wie	KOKOM	KOKOM	_	28	par	_	-
31	etwa	etwa	ADV	ADV	_	33	adv	_	(27
32	der	die	ART	ART	Def|Masc|Nom|Sg	33	det	_	-
33	Saxophonist	Saxophonist	N	NN	Masc|Nom|Sg	30	cj	_	-
34	Amani	Amani	N	NE	Masc|Nom|Sg	33	app	_	-
35	A.	A.	N	NE	Masc|Nom|Sg	34	app	_	-
36	W.	W.	N	NE	Masc|Nom|Sg	35	app	_	-
37	Murray	Murray	N	NE	Masc|Nom|Sg	36	app	_	26)|27)
38	,	,	$,	$,	_	0	root	_	-
39	der	die	PRO	PRELS	_|_|Sg	0	root	_	(27)
40	nach	nach	PREP	APPR	Dat	0	root	_	-
41	seinem	seine	ART	PPOSAT	_|Dat|Sg	42	det	_	(20|(27)
42	Plattendebut	Plattendebut	N	NN	_|Dat|Sg	40	pn	_	-
43	Happy	Happy	N	NE	_|Dat|Sg	42	app	_	-
44	Anniversary	Anniversary	N	NE	_|Dat|Sg	43	app	_	-
45	Charlie	Charlie	N	NE	_|Dat|Sg	44	app	_	-
46	Brown	Brown	N	NE	_|Dat|Sg	45	app	_	20)
47	!	!	$.	$.	_	0	root	_	-
48	,	,	$,	$,	_	0	root	_	-
49	gerade	gerade	ADV	ADV	_	50	adv	_	-
50	13jährig	13jährig	ADV	ADJD	Pos|	0	root	_	-
51	,	,	$,	$,	_	0	root	_	-
52	plante	planen	V	VVFIN	_|Sg|Past|_	0	root	_	-
53	,	,	$,	$,	_	0	root	_	-
54	eine	eine	ART	ART	Indef|Fem|_|Sg	55	det	_	(28
55	Bebopplatte	Bebopplatte	N	NN	Fem|_|Sg	56	obja	_	28)
56	aufzunehmen	aufnehmen	V	VVIZU	_	52	obji	_	-
57	.	.	$.	$.	_	0	root	_	-

1	»	»	$(	$(	_	0	root	_	-
2	Sperrt	sperren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	sie	sie	PRO	PPER	3|Sg|Fem|Nom	2	subj	_	(28)
4	in	in	PREP	APPR	Acc	2	objp	_	-
5	den	die	ART	ART	Def|Masc|Acc|Sg	6	det	_	-
6	Käfig	Käfig	N	NN	Masc|Acc|Sg	4	pn	_	-
7	und	und	KON	KON	_	2	kon	_	-
8	laßt	laßt	V	VVFIN	_	7	cj	_	-
9	sie	sie	PRO	PPER	3|_|_|Nom	11	subj	_	(28)
10	erstmal	erstmal	ADV	ADV	_	11	adv	_	-
11	erwachsen	erwachsen	V	VVPP	_	8	neb	_	-
12	werden	werden	V	VAINF	_	0	root	_	-
13	«	«	$(	$(	_	0	root	_	-
14	,	,	$,	$,	_	0	root	_	-
15	lautet	lauten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
16	der	die	ART	ART	Def|Masc|Nom|Sg	18	det	_	-
17	bissige	bissig	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	18	attr	_	-
18	Kommentar	Kommentar	N	NN	Masc|Nom|Sg	15	subj	_	-
19	von	von	PREP	APPR	_	18	pp	_	-
20	Lester	Lester	N	NE	_|_|_	19	pn	_	-
21	Bowie	Bowie	N	NE	_|_|_	20	app	_	-
22	,	,	$,	$,	_	0	root	_	-
23	Jahrgang	Jahrgang	N	NN	_|_|Sg	0	root	_	-
24	41.	41.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	»	»	$(	$(	_	0	root	_	-
2	Einige	einige	PRO	PIS	_|Nom|Pl	3	subj	_	-
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	wahnsinnig	wahnsinnig	ADV	ADJD	Pos|	5	adv	_	-
5	talentiert	talentiert	ADV	ADJD	Pos|	3	pred	_	-
6	-	-	$(	$(	_	0	root	_	-
7	Wallace	Wallace	N	NE	_	0	root	_	-
8	Rooney	Rooney	N	NE	_	7	app	_	-
9	,	,	$,	$,	_	0	root	_	-
10	Wynton	Wynton	N	NE	_	8	app	_	-
11	Marsalis	Marsalis	N	NE	_	10	app	_	-
12	,	,	$,	$,	_	0	root	_	-
13	Terence	Terence	N	NE	_	11	app	_	-
14	Blanchard	Blanchard	N	NE	_	13	app	_	-
15	,	,	$,	$,	_	0	root	_	-
16	Roy	Roy	N	NE	_	14	app	_	-
17	Hargrove	Hargrove	N	NE	_	16	app	_	-
18	,	,	$,	$,	_	0	root	_	-
19	Nathan	Nathan	N	NE	_	17	app	_	-
20	Breedlove	Breedlove	N	NE	_	19	app	_	-
21	oder	oder	KON	KON	_	20	kon	_	-
22	Ron	Ron	N	NE	_	21	cj	_	-
23	Howard	Howard	N	NE	_	22	app	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	3	koord	_	-
2	sie	sie	PRO	PPER	3|Pl|_|Nom	3	subj	_	(29)
3	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	-
4	lernen	lernen	V	VVINF	_	3	aux	_	-
5	,	,	$,	$,	_	0	root	_	-
6	ihr	ihre	ART	PPOSAT	Neut|_|Sg	7	det	_	(29)
7	Talent	Talent	N	NN	Neut|_|Sg	9	obja	_	-
8	zu	zu	PTKZU	PTKZU	_	9	part	_	-
9	gebrauchen	gebrauchen	V	VVINF	_	4	obji	_	-
10	,	,	$,	$,	_	0	root	_	-
11	um	um	KOUI	KOUI	_	16	konj	_	-
12	zu	zu	PREP	APPR	Dat	16	objp	_	-
13	sich	sie	PRO	PRF	3|_|Dat	12	pn	_	-
14	selbst	selbst	ADV	ADV	_	12	adv	_	-
15	zu	zu	PTKZU	PTKZU	_	16	part	_	-
16	finden	finden	V	VVINF	_	24	neb	_	-
17	,	,	$,	$,	_	0	root	_	-
18	denn	denn	KON	KON	_	16	kon	_	-
19	wenn	wenn	KOUS	KOUS	_	22	konj	_	-
20	du	du	PRO	PPER	2|Sg|_|Nom	22	subj	_	(30)
21	Jazz	Jazz	N	NN	Masc|_|Sg	22	obja	_	(25)
22	spielst	spielen	V	VVFIN	2|Sg|Pres|Ind	18	cj	_	-
23	,	,	$,	$,	_	0	root	_	-
24	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	-
25	nur	nur	ADV	ADV	_	24	adv	_	-
26	das	die	PRO	PDS	Neut|Nom|Sg	24	subj	_	-
27	raus	raus	PTKVZ	PTKVZ	_	24	avz	_	-
28	,	,	$,	$,	_	0	root	_	-
29	was	was	PRO	PWS	Neut|_|Sg	0	root	_	-
30	du	du	PRO	PPER	2|Sg|_|Nom	32	subj	_	(30)
31	wirklich	wirklich	ADV	ADJD	Pos|	32	pred	_	-
32	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	-
33	.	.	$.	$.	_	0	root	_	-

1	Wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	(31)
2	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	-
3	nicht	nicht	PTKNEG	PTKNEG	_	6	adv	_	-
4	damit	damit	PROAV	PROAV	_	6	pp	_	-
5	zufrieden	zufrieden	ADV	ADJD	Pos|	6	pred	_	-
6	sein	sein	V	VAINF	_	2	aux	_	-
7	,	,	$,	$,	_	0	root	_	-
8	wo	wo	PWAV	PWAV	_	10	adv	_	-
9	wir	wir	PRO	PPER	1|Pl|_|Nom	11	subj	_	(31)
10	angelangt	anlangen	V	VVPP	_	11	aux	_	-
11	sind	sein	V	VAFIN	1|Pl|Pres|Ind	6	objc	_	-
12	,	,	$,	$,	_	0	root	_	-
13	weil	weil	KOUS	KOUS	_	18	konj	_	-
14	es	es	PRO	PPER	3|Sg|Neut|Nom	18	subj	_	-
15	das	die	ART	ART	Def|Neut|Nom|Sg	17	det	_	-
16	schlichte	schlicht	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	17	attr	_	-
17	Nichts	Nichts	N	NN	Neut|Nom|Sg	18	pred	_	-
18	ist	sein	V	VAFIN	3|Sg|Pres|Ind	11	neb	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Sicher	sicher	ADV	ADJD	Pos|	2	adv	_	-
2	würde	werden	V	VAFIN	1|Sg|Past|Subj	0	root	_	-
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(32)
4	gern	gern	ADV	ADV	_	6	adv	_	-
5	alle	alle	PRO	PIS	_|_|_	6	obja	_	-
6	erreichen	erreichen	V	VVINF	_	2	aux	_	-
7	,	,	$,	$,	_	0	root	_	-
8	aber	aber	KON	KON	_	2	kon	_	-
9	vor	vor	PREP	APPR	Dat	11	pp	_	-
10	allem	alle	PRO	PIS	_|Dat|Sg	9	pn	_	-
11	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	8	cj	_	-
12	ich	ich	PRO	PPER	1|Sg|_|Nom	11	subj	_	(32)
13	den	die	ART	ART	Def|_|Dat|Pl	15	det	_	-
14	jungen	jung	ADJA	ADJA	Pos|_|Dat|Pl|_|	15	attr	_	-
15	Leuten	Leute	N	NN	_|Dat|Pl	19	objd	_	-
16	auch	auch	ADV	ADV	_	19	adv	_	-
17	etwas	etwas	ART	PIAT	Neut|_|Sg	18	det	_	-
18	Intelligentes	Intelligentes	N	NN	Neut|_|Sg	19	obja	_	-
19	bieten	bieten	V	VVINF	_	11	aux	_	-
20	,	,	$,	$,	_	0	root	_	-
21	nicht	nicht	PTKNEG	PTKNEG	_	24	adv	_	(33
22	den	die	ART	ART	Def|_|_|_	24	det	_	-
23	gleichen	gleich	ADJA	ADJA	Pos|_|_|_|_|	24	attr	_	-
24	Shit	Shit	N	NN	_|_|_	0	root	_	33)
25	,	,	$,	$,	_	0	root	_	-
26	der	die	PRO	PRELS	_|_|Sg	0	root	_	(33)
27	seit	seit	PREP	APPR	Dat	0	root	_	-
28	30	30	CARD	CARD	_	27	pn	_	-
29	,	,	$,	$,	_	0	root	_	-
30	40	40	CARD	CARD	_	31	attr	_	-
31	Jahren	Jahr	N	NN	Neut|Dat|Pl	32	objd	_	-
32	gemacht	machen	V	VVPP	_	33	aux	_	-
33	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
34	.	.	$.	$.	_	0	root	_	-

1	Wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	(31)
2	werden	werden	V	VAFIN	1|Pl|Pres|_	0	root	_	-
3	nicht	nicht	PTKNEG	PTKNEG	_	4	adv	_	-
4	aufgeben	aufgeben	V	VVINF	_	2	aux	_	-
5	,	,	$,	$,	_	0	root	_	-
6	bis	bis	PREP	APPR	Acc	8	pp	_	-
7	jeder	jede	PRO	PIS	_|_|Sg	6	pn	_	-
8	versteht	verstehen	V	VVFIN	_|_|Pres|Ind	2	kon	_	-
9	.	.	$.	$.	_	0	root	_	-

1	«	«	$(	$(	_	0	root	_	-
2	Wie	Wie	PWAV	PWAV	_	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	0	root	_	-
4	das	die	ART	ART	Def|Neut|_|Sg	0	root	_	-
5	musikalisch	musikalisch	ADV	ADJD	Pos|	6	adv	_	-
6	anhört	anhören	V	VVFIN	_|_|Pres|Ind	0	root	_	-
7	,	,	$,	$,	_	0	root	_	-
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
9	zu	zu	PTKZU	PTKZU	_	10	part	_	-
10	überprüfen	überprüfen	V	VVINF	_	8	aux	_	-
11	bei	bei	PREP	APPR	Dat	10	pp	_	-
12	Lester	Lester	N	NE	_|Dat|_	11	pn	_	-
13	Bowie	Bowie	FM	FM	_|Dat|_	12	app	_	-
14	And	And	FM	FM	_|Dat|_	13	app	_	-
15	The	The	FM	FM	_|Dat|_	14	app	_	-
16	New	New	FM	FM	_|Dat|_	15	app	_	-
17	York	York	N	NE	Neut|Dat|Sg	16	app	_	-
18	Organ	Organ	N	NN	Neut|Dat|Sg	17	app	_	-
19	Ensemble	Ensemble	N	NN	Neut|Dat|Sg	18	app	_	-
20	am	an	PREP	APPRART	Dat	10	pp	_	-
21	13.	13.	ADJA	ADJA	_|_|Dat|_|_|	20	pn	_	-
22	und	und	KON	KON	_	21	kon	_	-
23	14.	14.	ADJA	ADJA	_|_|Dat|_|_|	22	cj	_	-

1	7.	7.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-
2	im	in	PREP	APPRART	Dat	0	root	_	-
3	Quasi	Quasi	N	NE	_|Dat|_	2	pn	_	(36
4	,	,	$,	$,	_	0	root	_	-
5	mit	mit	PREP	APPR	Dat	3	pp	_	-
6	Sidewoman	Sidewoman	N	NE	_|Dat|Pl	5	pn	_	-
7	Amina	Amina	N	NE	_|Dat|Pl	6	app	_	-
8	Claudine	Claudine	N	NE	_|Dat|Pl	7	app	_	-
9	Meyers	Meyer	N	NE	_|Dat|Pl	8	app	_	-
10	an	an	PREP	APPR	Dat	9	pp	_	-
11	der	die	ART	ART	Def|Fem|Dat|Sg	12	det	_	(34
12	Orgel	Orgel	N	NN	Fem|Dat|Sg	10	pn	_	34)|36)
13	und	und	KON	KON	_	12	kon	_	-
14	Gitarrist	Gitarrist	N	NN	Masc|Dat|Sg	13	cj	_	-
15	Jean	Jean	N	NE	Masc|Dat|Sg	14	app	_	-
16	Paul	Paul	N	NE	Masc|Dat|Sg	15	app	_	-
17	Bourely	Bourely	N	NE	Masc|Dat|Sg	16	app	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	6	pp	_	-
2	Jahr	Jahr	N	NN	Neut|Dat|Sg	1	pn	_	-
3	25	25	CARD	CARD	_	2	app	_	-
4	nach	nach	PREP	APPR	Dat	3	pp	_	-
5	Trane	Trane	N	NE	_|Dat|_	4	pn	_	(35)
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	eine	eine	ART	ART	Indef|Fem|Nom|Sg	9	det	_	-
8	vergleichbare	vergleichbar	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	9	attr	_	-
9	Musikerpersönlichkeit	Musikerpersönlichkeit	N	NN	Fem|Nom|Sg	6	subj	_	-
10	nicht	nicht	PTKNEG	PTKNEG	_	6	adv	_	-
11	in	in	PREP	APPR	_	6	pp	_	-
12	Sicht	Sicht	N	NN	Fem|_|Sg	11	pn	_	-
13	-	-	$(	$(	_	0	root	_	-
14	es	es	PRO	PPER	3|Sg|Neut|_	21	expl	_	-
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	kon	_	-
16	an	an	PREP	APPR	Dat	15	pp	_	-
17	der	die	ART	ART	Def|Fem|Dat|Sg	18	det	_	-
18	Zeit	Zeit	N	NN	Fem|Dat|Sg	16	pn	_	-
19	,	,	$,	$,	_	0	root	_	-
20	Kontakt	Kontakt	N	NN	Masc|_|Sg	21	obja	_	-
21	aufzunehmen	aufnehmen	V	VVIZU	_	15	subjc	_	-
22	:	\:	$.	$.	_	0	root	_	-
23	Sidemen	Sidemen	N	NE	_	0	root	_	-
24	von	von	PREP	APPR	_	23	pp	_	-
25	gestern	gestern	ADV	ADV	_	24	adv	_	-
26	mit	mit	PREP	APPR	Dat	29	pp	_	-
27	den	die	ART	ART	Def|_|Dat|Pl	28	det	_	-
28	Young	Young	N	NE	_|Dat|Pl	26	pn	_	-
29	Lions	Lions	N	NE	_	23	app	_	-
30	von	von	PREP	APPR	_	29	pp	_	-
31	heute	heute	ADV	ADV	_	30	adv	_	-
32	-	-	$(	$(	_	0	root	_	-
33	im	in	PREP	APPRART	Dat	0	root	_	-
34	Quasi	Quasi	N	NN	_|Dat|_	33	pn	_	(36
35	noch	noch	ADV	ADV	_	36	adv	_	-
36	bis	bis	PREP	APPR	Acc	34	pp	_	-
37	19.	19.	ADJA	ADJA	_|_|Acc|_|_|	36	pn	_	36)

1	7.	7.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	Christian	Christian	N	NE	_|_|Sg	0	root	_	-
2	Broecking	Broecking	N	NE	_|_|Sg	1	app	_	-
3	Sonntag	Sonntag	N	NN	_|_|Sg	2	app	_	-
4	,	,	$,	$,	_	0	root	_	-
5	22	22	CARD	CARD	_	6	attr	_	-
6	Uhr	Uhr	N	NN	Fem|_|Sg	3	app	_	-
7	:	\:	$.	$.	_	0	root	_	-
8	Eine	eine	ART	ART	Indef|Fem|_|Sg	10	det	_	-
9	Berliner	Berliner	ADJA	ADJA	Pos|Fem|_|Sg|_|	10	attr	_	-
10	Minibigbandpremiere	Minibigbandpremiere	N	NN	Fem|_|Sg	0	root	_	-
11	des	die	ART	ART	Def|_|Gen|Sg	12	det	_	-
12	Jocelyn	Jocelyn	N	NN	_|Gen|Sg	10	gmod	_	-
13	B.	B.	N	NE	_|Gen|Sg	12	app	_	-
14	Smith	Smith	N	NE	_|Gen|Sg	13	app	_	-
15	Jazzprojects	Jazzprojects	N	NE	_|Gen|Sg	14	app	_	-
16	,	,	$,	$,	_	0	root	_	-
17	mit	mit	PREP	APPR	Dat	12	pp	_	-
18	Reggie	Reggie	N	NE	Masc|Dat|Sg	17	pn	_	-
19	Moore	Moore	N	NE	Masc|Dat|Sg	18	app	_	-
20	,	,	$,	$,	_	0	root	_	-
21	Rudy	Rudy	N	NE	Masc|Dat|Sg	19	kon	_	-
22	Stevenson	Stevenson	N	NE	Masc|Dat|Sg	21	app	_	-
23	und	und	KON	KON	_	21	kon	_	-
24	Ronnie	Ronnie	N	NE	Masc|Dat|Sg	23	cj	_	-
25	Stephenson	Stephenson	N	NE	Masc|Dat|Sg	24	app	_	-
26	,	,	$,	$,	_	0	root	_	-
27	Quasimodo	Quasimodo	N	NE	Masc|Dat|Sg	25	kon	_	-
28	Montag	Montag	N	NN	Masc|Dat|Sg	27	app	_	-
29	und	und	KON	KON	_	27	kon	_	-
30	Dienstag	Dienstag	N	NN	_|Dat|Sg	29	cj	_	-
31	,	,	$,	$,	_	0	root	_	-
32	22	22	CARD	CARD	_	33	attr	_	-
33	Uhr	Uhr	N	NN	Fem|_|Sg	10	app	_	-
34	:	\:	$.	$.	_	0	root	_	-
35	Lester	Lester	FM	FM	_	0	root	_	-
36	Bowiw	Bowiw	FM	FM	_	35	app	_	-
37	And	And	FM	FM	_	36	app	_	-
38	The	The	FM	FM	_	37	app	_	-
39	New	New	FM	FM	_	38	app	_	-
40	York	York	N	NE	Neut|_|Sg	39	app	_	-
41	Organ	Organ	N	NN	Neut|_|Sg	40	app	_	-
42	Ensemble	Ensemble	N	NN	Neut|_|Sg	41	app	_	-
43	im	in	PREP	APPRART	Dat	42	pp	_	-
44	Quasi	Quasi	N	NN	_|Dat|_	43	pn	_	(36)
45	.	.	$.	$.	_	0	root	_	-

