1	Am	Am	PTKA	PTKA	_	2	adv	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	bei	bei	PREP	APPR	Dat	2	pp	_	-
4	Fahrten	Fahrt	N	NN	Fem|Dat|Pl	3	pn	_	-
5	übers	über	PREP	APPRART	Acc	2	pp	_	-
6	Land	Land	N	NN	Neut|Acc|Sg	5	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	bei	bei	PREP	APPR	Dat	5	kon	_	-
9	Wochenendausflügen	Wochenendausflug	N	NN	Masc|Dat|Pl	8	pn	_	-
10	oder	oder	KON	KON	_	8	kon	_	-
11	bei	bei	PREP	APPR	Dat	10	cj	_	-
12	Urlaubsreisen	Urlaubsreise	N	NN	_|Dat|_	11	pn	_	-
13	anders	anders	ADV	ADV	_	2	pred	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Hier	hier	ADV	ADV	_	2	adv	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	ein	eine	ART	ART	Indef|Neut|Nom|Sg	9	det	_	(11
4	leichtes	leicht	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	9	attr	_	-
5	,	,	$,	$,	_	0	root	_	-
6	auf	auf	PREP	APPR	_	8	pp	_	-
7	Sportlichkeit	Sportlichkeit	N	NN	Fem|_|Sg	6	pn	_	-
8	ausgelegtes	ausgelegt	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	4	kon	_	-
9	Liegerad	Liegerad	N	NN	Neut|Nom|Sg	2	subj	_	11)
10	in	in	PREP	APPR	Dat	2	pp	_	-
11	seinem	seine	ART	PPOSAT	Neut|Dat|Sg	12	det	_	(11)
12	Element	Element	N	NN	Neut|Dat|Sg	10	pn	_	-
13	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	4	pp	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	(12
3	Stadt	Stadt	N	NN	Fem|Dat|Sg	1	pn	_	12)
4	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	-
5	eine	eine	ART	ART	Indef|Fem|Nom|Sg	8	det	_	-
6	möglichst	möglichst	ADV	ADV	_	7	adv	_	-
7	aufrechte	aufrecht	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	-
8	Sitzposition	Sitzposition	N	NN	Fem|Nom|Sg	4	subj	_	-
9	,	,	$,	$,	_	0	root	_	-
10	ein	eine	ART	ART	Indef|Masc|Nom|Sg	11	det	_	-
11	Spiegel	Spiegel	N	NN	Masc|Nom|Sg	8	kon	_	-
12	und	und	KON	KON	_	11	kon	_	-
13	eine	eine	ART	ART	Indef|Fem|_|Sg	14	det	_	-
14	Kinderfahne	Kinderfahne	N	NN	Neut|Nom|Sg	12	cj	_	-
15	(	(	$(	$(	_	0	root	_	-
16	ein	eine	ART	ART	Indef|Neut|Nom|Sg	20	det	_	-
17	kaum	kaum	ADV	ADV	_	19	adv	_	-
18	zu	zu	PTKZU	PTKZU	_	19	part	_	-
19	übersehendes	übersehend	ADJA	ADJA	Pos|Neut|Nom|Sg|St|<PPRES	20	attr	_	-
20	Signal	Signal	N	NN	Neut|Nom|Sg	14	app	_	-
21	für	für	PREP	APPR	Acc	20	pp	_	-
22	Autofahrer	Autofahrer	N	NN	Masc|Acc|_	21	pn	_	-
23	)	)	$(	$(	_	0	root	_	-
24	von	von	PREP	APPR	_	4	pp	_	-
25	großer	groß	ADJA	ADJA	Pos|Fem|_|Sg|St|	26	attr	_	-
26	Bedeutung	Bedeutung	N	NN	Fem|_|Sg	24	pn	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|Masc|Nom|Sg	3	det	_	-
2	stabiler	stabil	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	-
3	Ständer	Ständer	N	NN	Masc|Nom|Sg	0	root	_	-
4	-	-	$(	$(	_	0	root	_	-
5	beim	bei	PREP	APPRART	Dat	7	pp	_	-
6	Flux	Flux	N	NN	_|Dat|_	5	pn	_	(9)
7	serienmäßig	serienmäßig	ADV	ADJD	Pos|	0	root	_	-
8	,	,	$,	$,	_	0	root	_	-
9	an	an	PREP	APPR	Dat	13	pp	_	-
10	vielen	viele	ART	PIDAT	Neut|Dat|_	11	det	_	-
11	Liegerädern	Liegerad	N	NN	Neut|Dat|_	9	pn	_	-
12	das	die	ART	ART	Def|Neut|_|Sg	13	det	_	-
13	Unikat	Unikat	N	NN	Neut|_|Sg	0	root	_	-
14	erfindungsreicher	erfindungsreich	ADJA	ADJA	Pos|Masc|Gen|Pl|St|	15	attr	_	-
15	Schlosser	Schlosser	N	NN	Masc|Gen|Pl	13	gmod	_	-
16	-	-	$(	$(	_	0	root	_	-
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
18	hilfreich	hilfreich	ADV	ADJD	Pos|	17	pred	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	27	adv	_	-
2	wenn	wenn	KOUS	KOUS	_	17	konj	_	-
3	bei	bei	PREP	APPR	Dat	17	pp	_	-
4	einem	eine	ART	ART	Indef|Neut|Dat|Sg	5	det	_	-
5	Liegefahrrad	Liegefahrrad	N	NN	Neut|Dat|Sg	3	pn	_	-
6	und	und	KON	KON	_	3	kon	_	-
7	beim	bei	PREP	APPRART	Dat	6	cj	_	-
8	City-Komfortrad	City-Komfortrad	N	NN	Neut|Dat|Sg	7	pn	_	(13)
9	die	die	ART	ART	Def|Masc|Nom|Pl	10	det	_	-
10	Bremswege	Bremsweg	N	NN	Masc|Nom|Pl	17	subj	_	-
11	deutlich	deutlich	ADV	ADJD	Pos|	12	adv	_	-
12	kürzer	kurz	ADV	ADJD	Comp|	17	pred	_	-
13	als	als	KOKOM	KOKOM	_	17	kom	_	-
14	bei	bei	PREP	APPR	Dat	13	cj	_	-
15	herkömmlichen	herkömmlich	ADJA	ADJA	Pos|Neut|Dat|Pl|_|	16	attr	_	-
16	Velos	Velo	N	NN	Neut|Dat|Pl	14	pn	_	-
17	sind	sein	V	VAFIN	3|Pl|Pres|Ind	27	neb	_	-
18	und	und	KON	KON	_	17	kon	_	-
19	man	man	PRO	PIS	_|Nom|Sg	25	subj	_	-
20	beim	bei	PREP	APPRART	Dat	25	pp	_	-
21	Crash	Crash	N	NN	Masc|Dat|Sg	20	pn	_	-
22	nicht	nicht	PTKNEG	PTKNEG	_	25	adv	_	-
23	so	so	ADV	ADV	_	24	adv	_	-
24	tief	tief	ADV	ADJD	Pos|	25	adv	_	-
25	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	18	cj	_	-
26	,	,	$,	$,	_	0	root	_	-
27	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	-
28	kräftige	kräftig	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	29	attr	_	-
29	Bremsen	Bremse	N	NN	Fem|Nom|Pl	27	subj	_	-
30	zur	zu	PREP	APPRART	Dat	32	objp	_	-
31	Serienausstattung	Serienausstattung	N	NN	Fem|Dat|Sg	30	pn	_	-
32	gehören	gehören	V	VVINF	_	27	aux	_	-
33	.	.	$.	$.	_	0	root	_	-

1	Nicht	nicht	PTKNEG	PTKNEG	_	3	adv	_	-
2	nur	nur	ADV	ADV	_	3	adv	_	-
3	schick	schick	ADV	ADJD	Pos|	10	pred	_	-
4	,	,	$,	$,	_	0	root	_	-
5	sondern	sondern	KON	KON	_	3	kon	_	-
6	aerodynamisch	aerodynamisch	ADV	ADJD	Pos|	7	adv	_	-
7	deutlich	deutlich	ADV	ADJD	Pos|	5	cj	_	-
8	von	von	PREP	APPR	Dat	7	pp	_	-
9	Vorteil	Vorteil	N	NN	_|Dat|Sg	8	pn	_	-
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
11	eine	eine	ART	ART	Indef|Fem|Nom|Sg	12	det	_	(14
12	Verkleidung	Verkleidung	N	NN	Fem|Nom|Sg	10	subj	_	-
13	,	,	$,	$,	_	0	root	_	-
14	die	die	PRO	PRELS	Fem|Nom|Sg	21	subj	_	(14)
15	für	für	PREP	APPR	Acc	20	pp	_	-
16	das	die	ART	ART	Def|Neut|Acc|Sg	17	det	_	(9
17	Flux	Flux	N	NN	Neut|Acc|Sg	15	pn	_	9)
18	leider	leider	ADV	ADV	_	20	adv	_	-
19	nicht	nicht	PTKNEG	PTKNEG	_	20	adv	_	-
20	angeboten	anbieten	V	VVPP	_	21	aux	_	-
21	wird	werden	V	VAFIN	3|Sg|Pres|Ind	12	rel	_	14)
22	.	.	$.	$.	_	0	root	_	-

1	Benutzt	benutzen	V	VVFIN	3|Sg|Pres|Ind	11	neb	_	-
2	man	man	PRO	PIS	_|Nom|Sg	1	subj	_	-
3	das	die	ART	ART	Def|Neut|_|Sg	4	det	_	(15
4	Velo	Velo	N	NN	Neut|_|Sg	1	obja	_	15)
5	jedoch	jedoch	ADV	ADV	_	1	adv	_	-
6	überwiegend	überwiegend	ADV	ADJD	_|_	7	adv	_	-
7	in	in	PREP	APPR	Dat	1	pp	_	-
8	der	die	ART	ART	Def|Fem|Dat|Sg	9	det	_	(12
9	Stadt	Stadt	N	NN	Fem|Dat|Sg	7	pn	_	12)
10	,	,	$,	$,	_	0	root	_	-
11	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
12	die	die	ART	ART	Def|_|Nom|Pl	13	det	_	-
13	Vorteile	Vorteil	N	NN	_|Nom|Pl	11	subj	_	-
14	einer	eine	ART	ART	Indef|Fem|Gen|Sg	15	det	_	-
15	Verkleidung	Verkleidung	N	NN	Fem|Gen|Sg	13	gmod	_	-
16	zu	zu	PTKZU	PTKZU	_	17	part	_	-
17	vernachlässigen	vernachlässigen	V	VVINF	_	11	aux	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Fazit	Fazit	N	NN	Neut|_|Sg	0	root	_	-
2	:	\:	$.	$.	_	0	root	_	-
3	Ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	(16)
4	liebe	lieben	V	VVFIN	1|Sg|Pres|_	0	root	_	-
5	die	die	ART	ART	Def|Fem|_|Sg	6	det	_	-
6	Leichtigkeit	Leichtigkeit	N	NN	Fem|_|Sg	4	obja	_	-
7	meines	meine	ART	PPOSAT	Masc|Gen|Sg	8	det	_	(16)
8	Edelliegers	Edellieger	N	NN	Masc|Gen|Sg	6	gmod	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Für	für	PREP	APPR	Acc	6	pp	_	-
2	Fahrten	Fahrt	N	NN	Fem|Acc|Pl	1	pn	_	(17
3	in	in	PREP	APPR	Dat	2	pp	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	(12
5	Stadt	Stadt	N	NN	Fem|Dat|Sg	3	pn	_	12)|17)
6	könnte	können	V	VMFIN	1|Sg|Past|Subj	0	root	_	-
7	ich	ich	PRO	PPER	1|Sg|_|Nom	6	subj	_	(16)
8	mich	ich	PRO	PRF	1|Sg|Acc	15	obja	_	-
9	jedoch	jedoch	ADV	ADV	_	15	adv	_	-
10	mit	mit	PREP	APPR	Dat	15	objp	_	-
11	einem	eine	PRO	PIS	_|Dat|Sg	10	pn	_	-
12	der	die	ART	ART	Def|Neut|Gen|Pl	14	det	_	-
13	neuen	neu	ADJA	ADJA	Pos|Neut|Gen|Pl|Wk|	14	attr	_	-
14	City-Komforträder	City-Komfortrad	N	NN	Neut|Gen|Pl	11	gmod	_	-
15	anfreunden	anfreunden	V	VVINF	_	6	aux	_	-
16	,	,	$,	$,	_	0	root	_	-
17	obwohl	obwohl	KOUS	KOUS	_	30	konj	_	-
18	sie	sie	PRO	PPER	3|Pl|_|Nom	30	subj	_	(17)
19	eher	eher	ADV	ADV	_	20	adv	_	-
20	fahrbaren	fahrbar	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	21	attr	_	-
21	Sesseln	Sessel	N	NN	Masc|Dat|Pl	30	objd	_	-
22	und	und	KON	KON	_	21	kon	_	-
23	nicht	nicht	PTKNEG	PTKNEG	_	28	adv	_	-
24	mehr	mehr	ADV	ADV	_	23	adv	_	-
25	einem	eine	ART	ART	Indef|Neut|Dat|Sg	28	det	_	-
26	"	"	$(	$(	_	0	root	_	-
27	tiefergelegten	tiefergelegt	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	28	attr	_	-
28	Statussymbol	Statussymbol	N	NN	Neut|Dat|Sg	22	cj	_	-
29	"	"	$(	$(	_	0	root	_	-
30	ähneln	ähneln	V	VVFIN	3|Pl|Pres|_	6	neb	_	-
31	.	.	$.	$.	_	0	root	_	-

